GetCapsUrl,Title,Category
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_CRMS_2008.F.nc,CRMS 2008 F,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_CRMS_2008.F.C.nc,CRMS 2008 FC,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_CRMS_2008.F.C_mod_base_cycle_5.nc,CRMS 2008 FC Mod Base Cycle 5,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_CSI.nc,CSI,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_CSI.F.nc,CSI F,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_CSI_mod_base_cycle_5.nc,CSI Mod Base Cycle 5,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_CSI_v2.nc,CSI v1,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_CSI_v1.nc,CSI v2,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_NOAA.nc,NOAA,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_NOAA.F.nc,NOAA F,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_NOAA.F.C.nc,NOAA FC,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_NOAA.F.C_mod_base_cycle_5.nc,NOAA FC Mod Base Cycle 5,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_NOAA_NAVD_PRE.nc,NOAA Navd Pre,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_NOAA_NAVD_VER.nc,NOAA Navd Ver,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_NOAA_PRE.nc,NOAA Pre,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_NOAA_VER.nc,NOAA Ver,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_TCOON.nc,TCOON,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_TCOON.F.nc,TCOON F,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_TCOON.F.C.nc,TCOON FC,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_TCOON.F.C_mod_base_cycle_5.nc,TCOON FC Mod Base Cycle 5,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_UNDKennedy.nc,UNDKennedy,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_UNDKennedy_mod_base_cycle_5.nc,UNDKennedy Mod Base Cycle 5,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_USACE.nc,USACE,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_USACE.F.nc,USACE F,Measurement
http://testbedapps-dev.sura.org/thredds/sos/imeds/measurement/watlev_USACE.F.C.nc,USACE FC,Measurement
