http://weather.unisys.com/hurricane/atlantic/2005H/RITA/track.dat
Date: 18-26 SEP 2005
Hurricane RITA
ADV  LAT    LON      TIME     WIND  PR  STAT
  1  22.00  -69.70 09/18/03Z   25  1009 TROPICAL DEPRESSION
 1A  22.10  -70.20 09/18/06Z   25  1009 TROPICAL DEPRESSION
  2  21.70  -71.20 09/18/09Z   25  1008 TROPICAL DEPRESSION
 2A  21.70  -71.70 09/18/12Z   25  1008 TROPICAL DEPRESSION
  3  22.00  -72.20 09/18/15Z   30  1008 TROPICAL DEPRESSION
 3A  21.90  -72.40 09/18/18Z   30  1006 TROPICAL DEPRESSION
  4  22.20  -72.70 09/18/21Z   35  1005 TROPICAL STORM
 4A  22.70  -72.90 09/19/00Z   45  1005 TROPICAL STORM
  5  22.90  -73.30 09/19/03Z   45  1002 TROPICAL STORM
 5A  23.00  -73.70 09/19/06Z   45  1002 TROPICAL STORM
  6  22.70  -74.30 09/19/09Z   50   998 TROPICAL STORM
 6A  22.80  -74.60 09/19/12Z   50   997 TROPICAL STORM
  7  23.00  -75.20 09/19/15Z   55   994 TROPICAL STORM
 7A  23.10  -75.90 09/19/18Z   60   993 TROPICAL STORM
  8  23.30  -76.50 09/19/21Z   60   995 TROPICAL STORM
 8A  23.10  -77.00 09/20/00Z   60   993 TROPICAL STORM
  9  23.30  -77.80 09/20/03Z   60   990 TROPICAL STORM
 9A  23.60  -78.80 09/20/06Z   60   991 TROPICAL STORM
 10  23.70  -79.50 09/20/09Z   60   988 TROPICAL STORM
10A  23.80  -80.40 09/20/12Z   60   988 TROPICAL STORM
 11  23.80  -81.00 09/20/15Z   75   982 HURRICANE-1
 12  23.90  -81.70 09/20/18Z   85   978 HURRICANE-2
 13  24.00  -82.20 09/20/21Z   85   973 HURRICANE-2
13A  24.00  -82.60 09/21/00Z   90   969 HURRICANE-2
 14  24.10  -83.20 09/21/03Z   95   965 HURRICANE-2
14A  24.20  -84.00 09/21/06Z  100   960 HURRICANE-3
 15  24.30  -84.60 09/21/09Z  105   956 HURRICANE-3
15A  24.40  -85.30 09/21/12Z  115   948 HURRICANE-4
 16  24.30  -85.90 09/21/15Z  120   944 HURRICANE-4
 17  24.40  -86.80 09/21/21Z  145   914 HURRICANE-5
17A  24.50  -86.80 09/22/00Z  145   898 HURRICANE-5
 18  24.60  -87.20 09/22/03Z  150   897 HURRICANE-5
18A  24.80  -87.60 09/22/06Z  150   898 HURRICANE-5
 19  24.90  -88.00 09/22/09Z  150   897 HURRICANE-5
19A  25.20  -88.30 09/22/12Z  145   907 HURRICANE-5
 20  25.40  -88.70 09/22/15Z  145   907 HURRICANE-5
20A  25.50  -89.20 09/22/18Z  130   915 HURRICANE-4
 21  25.80  -89.50 09/22/21Z  125   913 HURRICANE-4
21A  26.00  -89.90 09/23/00Z  125   913 HURRICANE-4
 22  26.20  -90.30 09/23/03Z  120   917 HURRICANE-4
22A  26.40  -90.60 09/23/06Z  120   921 HURRICANE-4
 23  26.80  -91.00 09/23/09Z  120   927 HURRICANE-4
23A  27.10  -91.50 09/23/12Z  120   930 HURRICANE-4
 24  27.40  -91.90 09/23/15Z  115   929 HURRICANE-4
24A  27.80  -92.20 09/23/18Z  110   931 HURRICANE-3
 25  28.20  -92.60 09/23/21Z  110   930 HURRICANE-3
25A  28.50  -92.90 09/23/23Z  110   931 HURRICANE-3
25B  28.70  -93.00 09/24/01Z  105   931 HURRICANE-3
 26  29.10  -93.20 09/24/03Z  105   931 HURRICANE-3
26A  29.20  -93.50 09/24/03Z  105   934 HURRICANE-3
26B  29.60  -93.70 09/24/07Z  105   937 HURRICANE-3
 27  29.90  -93.90 09/24/09Z  105   951 HURRICANE-3
27A  30.40  -94.20 09/24/12Z   85   950 HURRICANE-2
 28  31.00  -94.30 09/24/15Z   65   960 HURRICANE-1
28A  31.60  -94.20 09/24/18Z   55   975 TROPICAL STORM
 29  32.10  -94.00 09/24/21Z   45   980 TROPICAL STORM
29A  32.50  -94.00 09/25/00Z   30   983 TROPICAL DEPRESSION
 30  33.00  -93.90 09/25/03Z   30   985 TROPICAL DEPRESSION
 31  34.20  -92.80 09/25/09Z   25   991 TROPICAL DEPRESSION
 32  35.20  -91.60 09/25/15Z   15   997 TROPICAL DEPRESSION
 33  36.60  -91.20 09/25/21Z   15   999 TROPICAL DEPRESSION
 34  38.50  -89.50 09/26/03Z   15  1004 TROPICAL DEPRESSION
 35  40.80  -86.80 09/26/09Z   15  1006 TROPICAL DEPRESSION
